Typecode,Passenger Capacity,Before Covid,During Covid,After Covid
A306,266,239,172,239
A30B,312,280,202,280
A310,220,198,143,198
A318,117,105,76,105
A319 ,134,120,87,120
A319-111,134,120,87,120
A320,165,148,107,148
A320-200,165,148,107,148
A320-214 ,165,148,107,148
A320-251N,165,148,107,148
A321,194,174,126,174
A321-211 ,194,174,126,174
A321-231 ,194,174,126,174
A32N,165,148,107,148
A330,295,265,191,265
A330-200,247,222,160,222
A332,247,222,160,222
A333,335,301,217,301
A337,179,161,116,161
A338,257,231,167,231
A339,287,258,186,258
A340,295,265,191,265
A342,261,234,169,234
A343,295,265,191,265
A345,313,281,203,281
A346,380,342,247,342
A350,325,292,211,292
A359,325,292,211,292
A35K,366,329,237,329
A380,555,499,360,499
A388,555,499,360,499
A39P,176,158,114,158
B703,189,170,122,170
B712,106,95,68,95
B721,106,95,68,95
B722,145,130,94,130
B724,167,150,108,150
B728,176,158,114,158
B732,130,117,84,117
B733,140,126,91,126
B734,168,151,109,151
B735,128,115,83,115
B736,123,110,79,110
B737,162,145,105,145
B738,189,170,122,170
B739,220,198,143,198
B742,496,446,322,446
B743,496,446,322,446
B744,524,471,340,471
B748,467,420,303,420
B74S,295,265,191,265
B752,200,180,130,180
B753,243,218,157,218
B762,181,162,117,162
B763,261,234,169,234
B764,304,273,197,273
B767,248,223,161,223
B772,314,282,204,282
B773,396,356,257,356
B777,350,315,227,315
B777F,317,285,206,285
B77F,317,285,206,285
B77L,317,285,206,285
B77W,396,356,257,356
B783,176,158,114,158
B788,242,217,157,217
B789,290,261,188,261
B78X,330,297,214,297
CRJ-1000,104,93,67,93
CRJ1,50,45,32,45
CRJ2,50,45,32,45
CRJ7,78,70,50,70
CRJ9,90,81,58,81
CRJX,83,74,53,74
DH2T,10,9,6,9
DH8A,37,33,24,33
DH8B,37,33,24,33
DH8C,50,45,32,45
DH8D,78,70,50,70
DHC2,7,6,4,6
DHC3,10,9,6,9
DHC6,19,17,12,17
DHC7,50,45,32,45
DHC8,50,45,32,45
DHT,6,5,3,5
E110,19,17,12,17
E120,30,27,19,27
E121,8,7,5,7
E135,37,33,24,33
E140,44,39,28,39
E145,50,45,32,45
E170,80,72,52,72
E175,88,79,57,79
E190,114,102,74,102
E195,124,111,80,111
